Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,AVG_CHT,CHT_Delta_T (deg C),OIL_Delta_T (deg C),OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),CHT_Delta_T (deg F),OIL_Delta_T (deg F),Fuel Flow Integral,Distance Traveled,MPG,Flight ID
0.06,1.0,9.0,2026-01-04 22:43:52,37.08162,-121.59948,257.0,0.0,337.8,-12.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-13.0,-13.0,55.4,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,32.0,32.0,32.0,32.0,32.0,32.0,32.0,8.600000000000001,8.600000000000001,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
1.06,1.0,9.0,2026-01-04 22:43:53,37.08162,-121.59948,256.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.3,240.9,0.0,338.0,-0.0,0.01,0.9,0.0,-55.0,13.0,0.0,29.88,157.0,0.0,0.0,230.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,-0.2,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,28.8,-1.0,4.998,0.0,0.0,0.656,0.703,0.0,53.2,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,40.2,55.4,32.0,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,127.76,31.1,104.36,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
2.06,1.0,9.0,2026-01-04 22:43:54,37.08162,-121.59949,255.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.2,241.0,0.0,336.0,-0.0,0.01,1.0,0.0,-70.0,13.0,0.0,29.88,157.0,0.0,0.0,230.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,14.0,13.0,13.0,13.0,14.0,13.0,14.0,0.0,0.0,-10.0,254.5,0.0,28.8,0.0,4.998,0.0,0.0,0.656,0.703,0.0,53.2,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,40.2,55.4,32.0,32.0,32.0,32.0,32.0,55.4,57.2,55.4,55.4,55.4,57.2,55.4,57.2,32.0,32.0,127.76,32.0,104.36,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
3.06,1.0,9.0,2026-01-04 22:43:55,37.08162,-121.59949,255.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.2,241.0,0.0,335.0,-0.0,0.01,1.0,0.0,-82.0,13.0,0.0,29.88,157.0,0.0,0.0,230.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,27.4,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,32.0,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
4.06,1.0,9.0,2026-01-04 22:43:56,37.08162,-121.59949,254.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.2,241.0,0.0,334.0,-0.0,0.0,1.0,0.0,-61.0,13.0,0.0,29.88,153.0,0.0,0.0,230.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,14.0,13.0,13.0,13.0,14.0,13.0,14.0,0.0,0.0,-10.0,254.5,0.0,26.8,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,-1.0,55.4,32.0,32.0,32.0,32.0,32.0,55.4,57.2,55.4,55.4,55.4,57.2,55.4,57.2,32.0,32.0,53.6,32.0,30.2,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
5.06,1.0,9.0,2026-01-04 22:43:57,37.08162,-121.59949,254.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.3,241.0,0.0,334.0,-0.0,0.01,1.0,0.0,-51.0,13.0,0.0,29.88,153.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,26.5,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,26.5,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,53.6,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
6.06,1.0,9.0,2026-01-04 22:43:58,37.08162,-121.59949,253.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.3,241.0,0.0,332.0,-0.0,0.0,1.0,0.0,-64.0,13.0,0.0,29.88,153.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,26.1,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,26.1,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,53.6,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.0,0.0,2026-01-04 14:43:52-08:00
7.06,1.0,9.0,2026-01-04 22:43:59,37.08162,-121.59949,252.0,0.1,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.3,241.0,0.0,331.0,-0.0,0.01,1.0,0.0,-56.0,13.0,0.0,29.88,149.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,25.7,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,25.7,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,53.6,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.08433333333333333,0.0,2026-01-04 14:43:52-08:00
8.06,1.0,9.0,2026-01-04 22:44:00,37.08161,-121.59949,252.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.3,241.0,0.0,330.0,-0.0,0.01,1.0,0.0,-68.0,13.0,0.0,29.88,149.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,25.3,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,25.3,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,53.6,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.16866666666666674,0.0,2026-01-04 14:43:52-08:00
9.06,1.0,9.0,2026-01-04 22:44:01,37.08161,-121.59949,251.0,0.0,337.8,-12.6,0.0,,0.0,0.0,0.0,11.0,0.2,241.1,0.0,329.0,-0.0,0.01,1.0,0.0,-64.0,13.0,0.0,29.88,149.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,24.9,0.0,0.0,38.2,0.0,0.0,-0.3,0.6,0.2,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,0.0,0.0,-10.0,254.5,0.0,24.9,0.0,4.998,0.0,0.0,0.656,0.703,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,12.5,-0.5,-1.0,55.4,53.6,32.0,32.0,32.0,32.0,55.4,55.4,53.6,55.4,55.4,55.4,53.6,55.4,32.0,32.0,53.6,31.1,30.2,0.0,0.16866666666666674,0.0,2026-01-04 14:43:52-08:00
